iter	Passed	Remaining
0	202	202440
1	215	107465
2	239	79433
3	257	64067
4	274	54721
5	289	47891
6	303	43034
7	316	39232
8	329	36278
9	342	33887
10	356	32072
11	370	30481
12	391	29690
13	413	29150
14	434	28531
15	454	27941
16	471	27257
17	488	26625
18	505	26084
19	522	25601
20	539	25171
21	558	24825
22	573	24344
23	587	23892
24	600	23411
25	612	22950
26	624	22511
27	640	22232
28	659	22092
29	678	21929
30	696	21758
31	715	21641
32	733	21488
33	750	21317
34	768	21195
35	785	21039
36	802	20881
37	820	20770
38	831	20501
39	845	20284
40	858	20078
41	872	19904
42	888	19772
43	910	19793
44	942	19993
45	965	20026
46	980	19885
47	997	19790
48	1014	19683
49	1034	19662
50	1053	19609
51	1075	19608
52	1089	19474
53	1108	19413
54	1122	19287
55	1134	19130
56	1148	19005
57	1162	18879
58	1175	18747
59	1188	18627
60	1205	18558
61	1225	18541
62	1240	18454
63	1256	18371
64	1273	18325
65	1288	18240
66	1307	18207
67	1326	18174
68	1342	18118
69	1358	18046
70	1373	17967
71	1384	17850
72	1397	17747
73	1411	17661
74	1426	17591
75	1444	17565
76	1467	17593
77	1493	17655
78	1518	17698
79	1542	17735
80	1570	17816
81	1615	18085
82	1641	18138
83	1664	18154
84	1683	18126
85	1701	18085
86	1720	18054
87	1740	18034
88	1758	17995
89	1775	17947
90	1790	17885
91	1805	17816
92	1821	17762
93	1839	17725
94	1862	17741
95	1888	17779
96	1909	17776
97	1929	17759
98	1954	17784
99	1977	17793
100	1994	17751
101	2011	17712
102	2029	17675
103	2045	17622
104	2062	17577
105	2078	17531
106	2093	17473
107	2111	17440
108	2130	17416
109	2150	17400
110	2169	17372
111	2188	17352
112	2204	17308
113	2222	17271
114	2237	17222
115	2249	17145
116	2262	17072
117	2275	17006
118	2289	16951
119	2301	16881
120	2314	16810
121	2326	16740
122	2338	16673
123	2350	16606
124	2363	16544
125	2374	16471
126	2387	16413
127	2401	16359
128	2414	16305
129	2428	16252
130	2441	16193
131	2455	16148
132	2468	16091
133	2483	16047
134	2497	16002
135	2512	15963
136	2528	15924
137	2545	15897
138	2562	15871
139	2575	15819
140	2589	15777
141	2603	15728
142	2615	15675
143	2632	15649
144	2646	15602
145	2662	15571
146	2677	15535
147	2693	15503
148	2707	15462
149	2719	15411
150	2733	15371
151	2748	15333
152	2763	15298
153	2777	15259
154	2792	15222
155	2806	15181
156	2819	15140
157	2834	15103
158	2847	15059
159	2862	15028
160	2878	15001
161	2893	14967
162	2908	14935
163	2922	14898
164	2936	14859
165	2951	14829
166	2965	14793
167	2979	14754
168	2989	14701
169	3004	14667
170	3018	14632
171	3030	14586
172	3044	14555
173	3059	14525
174	3074	14495
175	3089	14465
176	3102	14427
177	3116	14391
178	3128	14347
179	3143	14322
180	3156	14282
181	3169	14247
182	3182	14209
183	3195	14170
184	3209	14139
185	3221	14099
186	3234	14061
187	3247	14025
188	3261	13994
189	3275	13965
190	3289	13932
191	3302	13898
192	3316	13866
193	3328	13829
194	3341	13792
195	3356	13767
196	3368	13731
197	3381	13695
198	3394	13664
199	3405	13621
200	3417	13584
201	3430	13551
202	3443	13518
203	3454	13479
204	3466	13443
205	3479	13410
206	3492	13380
207	3508	13358
208	3519	13322
209	3533	13291
210	3544	13254
211	3556	13220
212	3569	13190
213	3583	13163
214	3598	13139
215	3615	13124
216	3633	13109
217	3648	13089
218	3664	13068
219	3681	13052
220	3697	13032
221	3710	13001
222	3725	12980
223	3740	12959
224	3759	12950
225	3776	12933
226	3793	12919
227	3810	12901
228	3824	12875
229	3838	12849
230	3851	12820
231	3869	12808
232	3885	12789
233	3898	12760
234	3912	12737
235	3928	12717
236	3943	12696
237	3959	12675
238	3970	12641
239	3982	12612
240	3997	12590
241	4014	12572
242	4028	12549
243	4042	12525
244	4057	12503
245	4071	12478
246	4086	12458
247	4102	12441
248	4118	12422
249	4135	12406
250	4150	12384
251	4162	12354
252	4176	12331
253	4188	12303
254	4200	12271
255	4212	12243
256	4225	12215
257	4237	12185
258	4249	12158
259	4260	12127
260	4273	12100
261	4288	12079
262	4300	12052
263	4312	12022
264	4325	11997
265	4338	11972
266	4350	11944
267	4362	11916
268	4375	11889
269	4388	11865
270	4400	11837
271	4411	11807
272	4423	11779
273	4436	11755
274	4450	11732
275	4469	11725
276	4487	11714
277	4503	11697
278	4519	11679
279	4534	11661
280	4553	11652
281	4569	11634
282	4585	11617
283	4598	11594
284	4612	11571
285	4627	11552
286	4645	11541
287	4662	11526
288	4679	11511
289	4696	11497
290	4711	11478
291	4727	11463
292	4741	11440
293	4754	11416
294	4767	11392
295	4779	11368
296	4792	11344
297	4807	11325
298	4823	11309
299	4835	11282
300	4848	11259
301	4859	11231
302	4872	11208
303	4885	11184
304	4898	11162
305	4911	11139
306	4922	11110
307	4934	11087
308	4951	11072
309	4964	11049
310	4977	11027
311	4990	11005
312	5002	10979
313	5015	10956
314	5028	10934
315	5041	10913
316	5055	10893
317	5068	10870
318	5083	10852
319	5096	10830
320	5109	10807
321	5121	10783
322	5133	10760
323	5148	10741
324	5161	10720
325	5173	10696
326	5186	10674
327	5198	10649
328	5211	10628
329	5223	10605
330	5236	10584
331	5249	10562
332	5262	10541
333	5277	10523
334	5289	10499
335	5302	10477
336	5312	10451
337	5325	10430
338	5337	10408
339	5354	10393
340	5367	10373
341	5381	10353
342	5396	10336
343	5411	10320
344	5427	10305
345	5440	10284
346	5454	10264
347	5470	10249
348	5488	10237
349	5508	10229
350	5520	10208
351	5536	10191
352	5552	10176
353	5568	10161
354	5584	10146
355	5598	10127
356	5616	10115
357	5633	10102
358	5648	10084
359	5661	10064
360	5674	10045
361	5687	10024
362	5701	10005
363	5714	9984
364	5727	9964
365	5741	9945
366	5758	9932
367	5772	9913
368	5784	9892
369	5796	9869
370	5811	9852
371	5824	9833
372	5838	9814
373	5851	9794
374	5865	9775
375	5878	9756
376	5894	9740
377	5907	9720
378	5920	9701
379	5933	9680
380	5946	9660
381	5959	9640
382	5972	9621
383	5985	9601
384	5997	9580
385	6011	9563
386	6024	9542
387	6037	9523
388	6050	9503
389	6062	9482
390	6077	9466
391	6090	9446
392	6103	9426
393	6116	9407
394	6128	9387
395	6140	9366
396	6156	9350
397	6167	9328
398	6180	9309
399	6193	9290
400	6206	9270
401	6218	9250
402	6234	9235
403	6248	9218
404	6259	9196
405	6272	9177
406	6288	9161
407	6300	9141
408	6313	9122
409	6325	9102
410	6337	9082
411	6353	9067
412	6365	9047
413	6380	9030
414	6397	9018
415	6412	9001
416	6426	8984
417	6439	8966
418	6454	8949
419	6468	8932
420	6483	8916
421	6497	8899
422	6513	8885
423	6526	8866
424	6546	8856
425	6565	8845
426	6583	8834
427	6599	8820
428	6618	8809
429	6634	8794
430	6651	8780
431	6670	8770
432	6689	8759
433	6706	8746
434	6724	8734
435	6740	8719
436	6755	8702
437	6769	8685
438	6781	8665
439	6795	8648
440	6808	8629
441	6821	8611
442	6835	8595
443	6853	8582
444	6867	8565
445	6882	8548
446	6896	8531
447	6910	8514
448	6922	8495
449	6935	8476
450	6952	8462
451	6968	8448
452	6979	8428
453	6995	8413
454	7010	8396
455	7025	8381
456	7060	8389
457	7077	8375
458	7095	8362
459	7115	8352
460	7182	8397
461	7237	8428
462	7281	8444
463	7359	8501
464	7406	8521
465	7450	8537
466	7485	8543
467	7527	8557
468	7563	8563
469	7624	8597
470	7656	8599
471	7680	8591
472	7700	8579
473	7718	8565
474	7740	8555
475	7757	8539
476	7775	8525
477	7792	8509
478	7804	8489
479	7821	8473
480	7837	8456
481	7859	8446
482	7877	8431
483	7894	8416
484	7912	8402
485	7929	8385
486	7943	8368
487	7960	8352
488	7974	8333
489	7991	8317
490	8011	8305
491	8028	8289
492	8046	8275
493	8065	8261
494	8088	8251
495	8107	8238
496	8126	8224
497	8149	8214
498	8166	8199
499	8189	8189
500	8206	8174
501	8224	8158
502	8240	8141
503	8255	8124
504	8272	8108
505	8288	8091
506	8305	8076
507	8323	8061
508	8342	8047
509	8360	8032
510	8375	8014
511	8392	7998
512	8408	7981
513	8424	7965
514	8440	7948
515	8455	7930
516	8471	7914
517	8489	7899
518	8503	7880
519	8515	7860
520	8530	7842
521	8546	7826
522	8561	7808
523	8578	7792
524	8596	7777
525	8612	7761
526	8625	7741
527	8642	7725
528	8657	7708
529	8672	7690
530	8688	7674
531	8705	7658
532	8721	7641
533	8739	7626
534	8755	7610
535	8772	7594
536	8790	7579
537	8805	7561
538	8822	7545
539	8839	7529
540	8856	7513
541	8868	7494
542	8884	7477
543	8901	7461
544	8917	7444
545	8935	7429
546	8951	7412
547	8967	7396
548	8981	7378
549	9003	7366
550	9018	7349
551	9033	7331
552	9050	7315
553	9066	7299
554	9084	7283
555	9100	7267
556	9114	7249
557	9134	7235
558	9151	7219
559	9168	7203
560	9184	7187
561	9199	7169
562	9217	7154
563	9231	7136
564	9247	7119
565	9263	7103
566	9278	7085
567	9293	7068
568	9308	7050
569	9321	7031
570	9334	7013
571	9348	6995
572	9362	6977
573	9376	6959
574	9393	6943
575	9409	6926
576	9425	6910
577	9442	6893
578	9457	6876
579	9471	6858
580	9486	6841
581	9501	6824
582	9515	6806
583	9533	6791
584	9548	6773
585	9563	6756
586	9580	6740
587	9596	6724
588	9613	6708
589	9629	6691
590	9646	6676
591	9665	6661
592	9680	6644
593	9695	6627
594	9711	6610
595	9728	6594
596	9741	6575
597	9757	6559
598	9771	6541
599	9785	6523
600	9805	6509
601	9819	6492
602	9834	6474
603	9848	6456
604	9862	6438
605	9876	6421
606	9889	6402
607	9952	6416
608	9974	6403
609	9996	6391
610	10014	6375
611	10028	6357
612	10043	6340
613	10055	6321
614	10070	6304
615	10085	6287
616	10100	6269
617	10113	6251
618	10127	6233
619	10139	6214
620	10156	6198
621	10169	6180
622	10182	6162
623	10199	6145
624	10214	6128
625	10225	6109
626	10241	6092
627	10258	6076
628	10275	6060
629	10289	6043
630	10304	6025
631	10322	6010
632	10340	5995
633	10355	5978
634	10368	5959
635	10381	5941
636	10395	5923
637	10408	5905
638	10421	5887
639	10433	5869
640	10449	5852
641	10462	5834
642	10474	5815
643	10487	5797
644	10500	5779
645	10515	5762
646	10530	5745
647	10542	5726
648	10555	5708
649	10570	5691
650	10584	5674
651	10600	5657
652	10613	5639
653	10624	5621
654	10638	5603
655	10651	5585
656	10666	5568
657	10677	5549
658	10691	5532
659	10702	5513
660	10715	5495
661	10729	5478
662	10744	5461
663	10758	5443
664	10771	5426
665	10783	5408
666	10797	5390
667	10809	5372
668	10824	5355
669	10837	5337
670	10849	5319
671	10864	5302
672	10878	5285
673	10891	5268
674	10906	5251
675	10919	5233
676	10932	5216
677	10947	5199
678	10960	5181
679	10974	5164
680	10987	5146
681	11004	5131
682	11014	5112
683	11027	5094
684	11040	5077
685	11055	5060
686	11069	5043
687	11081	5025
688	11095	5008
689	11110	4991
690	11125	4975
691	11139	4958
692	11153	4941
693	11165	4923
694	11178	4905
695	11193	4888
696	11206	4871
697	11219	4854
698	11233	4837
699	11245	4819
700	11258	4802
701	11271	4784
702	11287	4768
703	11303	4752
704	11317	4735
705	11330	4718
706	11343	4700
707	11354	4682
708	11369	4666
709	11383	4649
710	11400	4633
711	11414	4617
712	11427	4599
713	11439	4582
714	11452	4565
715	11466	4548
716	11479	4531
717	11492	4513
718	11507	4497
719	11519	4479
720	11534	4463
721	11548	4446
722	11563	4430
723	11576	4413
724	11589	4396
725	11606	4380
726	11621	4364
727	11634	4347
728	11648	4330
729	11661	4313
730	11673	4295
731	11687	4278
732	11700	4261
733	11714	4245
734	11729	4228
735	11741	4211
736	11754	4194
737	11768	4177
738	11782	4161
739	11798	4145
740	11812	4128
741	11827	4112
742	11840	4095
743	11853	4078
744	11866	4061
745	11880	4045
746	11895	4028
747	11908	4012
748	11921	3995
749	11935	3978
750	11949	3961
751	11963	3945
752	11978	3929
753	11992	3912
754	12006	3896
755	12020	3879
756	12032	3862
757	12045	3845
758	12059	3829
759	12072	3812
760	12085	3795
761	12099	3778
762	12114	3763
763	12127	3746
764	12141	3729
765	12154	3713
766	12169	3696
767	12179	3679
768	12195	3663
769	12209	3646
770	12224	3630
771	12238	3614
772	12252	3598
773	12266	3581
774	12278	3564
775	12291	3548
776	12304	3531
777	12318	3514
778	12331	3498
779	12344	3481
780	12357	3465
781	12372	3449
782	12386	3432
783	12398	3415
784	12412	3399
785	12424	3382
786	12439	3366
787	12453	3350
788	12467	3334
789	12479	3317
790	12493	3301
791	12505	3284
792	12520	3268
793	12534	3251
794	12550	3236
795	12563	3219
796	12576	3203
797	12589	3186
798	12607	3171
799	12621	3155
800	12636	3139
801	12651	3123
802	12664	3107
803	12676	3090
804	12689	3073
805	12702	3057
806	12715	3041
807	12731	3025
808	12745	3009
809	12759	2992
810	12772	2976
811	12783	2959
812	12796	2943
813	12809	2926
814	12821	2910
815	12835	2894
816	12849	2878
817	12863	2862
818	12876	2845
819	12889	2829
820	12903	2813
821	12917	2797
822	12932	2781
823	12947	2765
824	12960	2749
825	12973	2732
826	12984	2716
827	12999	2700
828	13013	2684
829	13027	2668
830	13039	2651
831	13053	2635
832	13070	2620
833	13083	2604
834	13097	2588
835	13111	2572
836	13126	2556
837	13138	2539
838	13151	2523
839	13167	2508
840	13180	2492
841	13194	2476
842	13207	2459
843	13220	2443
844	13234	2427
845	13247	2411
846	13262	2395
847	13276	2379
848	13291	2364
849	13305	2348
850	13317	2331
851	13330	2315
852	13344	2299
853	13358	2283
854	13372	2267
855	13388	2252
856	13402	2236
857	13412	2219
858	13426	2203
859	13441	2188
860	13455	2172
861	13467	2156
862	13481	2140
863	13497	2124
864	13512	2108
865	13528	2093
866	13543	2077
867	13557	2061
868	13571	2045
869	13584	2029
870	13598	2013
871	13611	1997
872	13625	1982
873	13639	1966
874	13650	1950
875	13663	1934
876	13676	1918
877	13690	1902
878	13705	1886
879	13718	1870
880	13730	1854
881	13743	1838
882	13758	1822
883	13772	1807
884	13785	1791
885	13799	1775
886	13813	1759
887	13826	1743
888	13839	1727
889	13853	1712
890	13868	1696
891	13881	1680
892	13896	1665
893	13911	1649
894	13924	1633
895	13938	1617
896	13952	1602
897	13965	1586
898	13977	1570
899	13988	1554
900	14000	1538
901	14013	1522
902	14027	1506
903	14039	1490
904	14054	1475
905	14070	1459
906	14084	1444
907	14099	1428
908	14115	1413
909	14129	1397
910	14141	1381
911	14153	1365
912	14167	1350
913	14180	1334
914	14196	1318
915	14208	1302
916	14221	1287
917	14236	1271
918	14250	1256
919	14263	1240
920	14275	1224
921	14289	1208
922	14302	1193
923	14316	1177
924	14330	1161
925	14345	1146
926	14357	1130
927	14370	1114
928	14381	1099
929	14393	1083
930	14406	1067
931	14420	1052
932	14436	1036
933	14449	1021
934	14463	1005
935	14478	989
936	14490	974
937	14503	958
938	14516	943
939	14531	927
940	14545	911
941	14559	896
942	14571	880
943	14586	865
944	14602	849
945	14615	834
946	14629	818
947	14642	803
948	14658	787
949	14671	772
950	14684	756
951	14696	741
952	14711	725
953	14724	710
954	14739	694
955	14753	679
956	14767	663
957	14781	648
958	14794	632
959	14808	617
960	14820	601
961	14833	585
962	14845	570
963	14861	554
964	14875	539
965	14889	524
966	14902	508
967	14916	493
968	14929	477
969	14944	462
970	14961	446
971	14977	431
972	14990	415
973	15005	400
974	15018	385
975	15035	369
976	15053	354
977	15072	339
978	15088	323
979	15104	308
980	15122	292
981	15141	277
982	15158	262
983	15176	246
984	15195	231
985	15211	215
986	15226	200
987	15241	185
988	15254	169
989	15266	154
990	15279	138
991	15295	123
992	15308	107
993	15322	92
994	15337	77
995	15350	61
996	15365	46
997	15379	30
998	15396	15
999	15410	0
